Word,Coefficient
neant,-1.0507400250076078
echec,-1.0606709417346256
aucuns,-1.062617531191878
flou,-1.0637119584604748
difficilement,-1.071796901834872
fissuree,-1.0860420876790609
tordus,-1.0891457565340705
deteste,-1.090977249274856
illisible,-1.1227168577195095
inexistant,-1.125530437351725
vide,-1.1260778651434715
trompeur,-1.1409581424444248
terrible,-1.1425460153641842
frustrant,-1.1426252634261873
manquantes,-1.1435470259742613
decus,-1.144803269324259
pourri,-1.1825744660336004
jauni,-1.186439677973103
defectueux,-1.1926814286671068
douteux,-1.1962867216630066
affreux,-1.1987041946369918
execrable,-1.2031682401209363
ridiculement,-1.2106451530741489
defonce,-1.2169276997407152
non,-1.2258642382773213
fades,-1.2332684791182476
merdique,-1.2368701603512113
incomplet,-1.23901725230267
cata,-1.24744722804026
inadmissible,-1.2488038503351884
lente,-1.2493073453609547
dechiree,-1.2543071259931284
decollees,-1.2556541778714483
malheureusement,-1.257677430242344
bacle,-1.2664271864272039
craque,-1.2670356726486256
interdit,-1.2688804625345236
basic,-1.2712494218043389
perime,-1.2713118562360342
fendu,-1.271822864138849
renvoye,-1.2839267275236297
moyenne,-1.2871913499798442
moyen,-1.2994647158522263
desolee,-1.3090667900160742
desagreables,-1.3101894596312313
inadapte,-1.3117259830914894
degoutee,-1.3237468231181997
douloureux,-1.3297766957141535
inconfortable,-1.3411887686074775
casser,-1.3470453533294546
detache,-1.3501274017554459
dommage,-1.3677619128793002
abime,-1.368264543650421
rembourser,-1.3684156105679217
abimees,-1.3765698514098992
refuse,-1.3808696873689765
jamais,-1.3867522721392769
gache,-1.3938745425006107
eviter,-1.3994539904097083
abandonne,-1.404956657364904
renvois,-1.411162455839728
beug,-1.4283888147785808
deformee,-1.4519409805209216
deteriore,-1.4589851291528884
nulle,-1.4593695607463057
decolle,-1.4720625343998064
dechire,-1.4725109056598076
deconne,-1.4764646049709707
horreur,-1.4827619811225867
poubelle,-1.4864413688688467
remboursement,-1.4874472808283394
pire,-1.4989935731850448
desagreable,-1.5032047112359057
atroce,-1.5038016044607334
impossibles,-1.5052178778494767
agacant,-1.5182607835676225
insatisfait,-1.521579701472682
panne,-1.5231427310493815
casse,-1.5335342889432366
mitigee,-1.5400653232793255
decue,-1.5837384394477967
fissure,-1.6043433318004205
inexistante,-1.6127077673825612
dechirent,-1.635506328934102
insuffisant,-1.6398290418892745
tordues,-1.661460748034997
mauvais,-1.6897263891392267
fade,-1.6977223203994958
minuscules,-1.7475041647819693
contrefacon,-1.781124163677062
rouille,-1.7836331764968605
deconseille,-1.7878975748834431
mediocres,-1.8338249451443411
pauvre,-1.8381978526683358
moyennement,-1.863511664524741
passable,-1.899665842780222
decu,-1.930597779357451
decevant,-1.9363071182481335
mecontente,-1.9504940178053953
mensongere,-1.9743075053721364
erronee,-1.9759373471818684
ridicule,-1.9784639183452397
dechire,-1.9898503408484696
mitige,-1.9904047593311598
ennuyeux,-1.994291416238388
cassent,-2.0071996687931204
rouillent,-2.0125755989930867
catastrophe,-2.01601683287182
lamentable,-2.020028226643407
deplorable,-2.099795669697423
decu,-2.1137074924620114
fuir,-2.15069179908247
fissure,-2.1600903957410136
scandaleux,-2.1718864312123385
minable,-2.193830667681236
impossible,-2.2046722087455097
decu,-2.2102011145203164
deception,-2.2182698009390      
deconseille,-2.2642319317939985
incomplete,-2.277972934071036
incomprehensible,-2.2793008864442017
merde,-2.283298945984952
horrible,-2.2984142894729622
bof,-2.338818869556826
fuyez,-2.4398543568550703
honteux,-2.4789098582920306
decue,-2.4977330675135163
degoute,-2.5049504264984925
nul,-2.5059375519983837
mauvaise,-2.545266457901104
decousu,-2.5496874115145207
inutilisable,-2.5726532538673483
inutile,-2.5797428802073235
inefficace,-2.643036715905595
decevant,-2.6476851447709153
mediocre,-2.794903168436306
honte,-2.9556754555309346
incompatible,-2.998745305395166
mediocre,-3.0601751233691976
inacceptable,-3.079288166648416
decevante,-3.1045500658654324
deconseille,-3.3247006626346187
arnaque,-3.4226887931962753
insupportable,-3.543160957271304
deconseiller,-3.549734243185895
dramatique,-3.5432422
