Review,Stars,Date
Pour un bichon maltais de 3kg c est juste la bonne dose (1 sachet). N espérez pas nourrir un husky avec 😉,4,Commenté en France le 17 June 2023
Le meilleur prix possible pour ce produit qui convient toujours parfaitement à mon chien.,5,Commenté en France le 20 June 2023
Conforme à la description,3,Commenté en France le 14 June 2023
Je les utilise en alternance avec croquettes sans céréales. Mes toutous aiment 👍♥️,5,Commenté en France le 26 May 2023
Miam miam chien adore,5,Commenté en France le 01 June 2023
"Fraîcheur
Mes chiens les adorent
J’espère pouvoir en commander à prix compétitifs merci pédigrée",4,Commenté en France le 25 May 2023
Article parfait ma chienne est très contente 👍,5,Commenté en France le 27 May 2023
Mon chien adore je recommande,5,Commenté en France le 22 May 2023
Tarif très intéressant pour la marque,5,Commenté en France le 13 May 2023
"sachet qui correspond bien a la marque SAUF la quantité.. moi je nourris 3 chihuahuas avec un sachet de 100 gr, mais là aucun des sachets ne pèse 100 gr, ils sont a 90, 93 gr au mieux, c'est donc du vol sur le prix au kilo, mais surtout , je suis obligé d'en ouvrir deux pour un repas.. donc.... mieux vaut faire attention si , comme moi, vous avez besoin de 100gr , moi je n'en reprendrais pas .",5,Commenté en France le 31 January 2023
Un peu difficile car ma chien ne mange pas forcément ses croquettes mais avec un peu de pâté elle adore bien sûr. De bons gros morceaux et des légumes qu'elle apprécie bcp,4,Commenté en France le 17 February 2023
La patee chien est o top pour son prix et à l’identique comme dans grandes surfaces,5,Commenté en France le 09 March 2023
Bonne préparation appétissante,3,Commenté en France le 23 March 2023
"Voilà le résultat, j'ai voulu payer moins cher lors de ma commande précédente. Résultats je reviens pour ma fille vers une marque que je connais pour elle. Et elle adore.",5,Commenté en France le 14 December 2022
Mon chien l'adore. Avec de bons morceaux de viande qq légumes. Un bon prix pour la quantité de sachet. Très bon produit,5,Commenté en France le 18 February 2023
À mélanger avec riz et croquettes,5,Commenté en France le 28 December 2022
Mon chien adore lol .livrer avant tout juste,4,Commenté en France le 23 February 2023
Conforme a la description,5,Commenté en France le 05 March 2023
"j'ai acheté ces sachets pour ma chienne qui vieillit et ne peut plus trop manger ses croquettes,elle apprécie ces sachets!!!",4,Commenté en France le 28 January 2023
Vraiment décevant jamais eu de souci jusqu'à présent. Sachets ouverts dans les box. Obligé de tout laver. Et pour les sachets ouverts Obligé de les jeter car ne sachant pas depuis quand ils sont ouverts. Sympa,5,Commenté en France le 22 December 2022
supers,4,Commenté en France le 18 February 2023
"Tout est correct, merci pour tout",5,Commenté en France le 01 February 2023
Pour faire plaisir à mes 2 adorables colleys,3,Commenté en France le 23 January 2023
"Excellent repas pour chien, ma chienne en raffole, très apetant, de la sauce, petits légumes et des morceaux de viande.
La date de péremption va très loin en 2024.
Livraison rapide merci Amazon",5,Commenté en France le 21 November 2022
Tres bon rapport qualité/ prix .,5,Commenté en France le 01 January 2023
Conditionnement en sachet individuel ..fraîcheur du produit,5,Commenté en France le 28 December 2022
ELLE VIENT D ENGLOUTIR DEUX PAQUETS SONT ARRIVES AVEC DATE D EXPIRATION EN 2024,5,Commenté en France le 31 August 2022
Ma chienne adore,5,Commenté en France le 05 January 2023
"Mon caniche en raffole
Un sachet par jour mélangé avec des croquettes
Excellent",5,Commenté en France le 10 December 2022
Mon chien un caniche nain de 9 ans en raffole. Elle en mange un sachet chaque soir,4,Commenté en France le 29 November 2022
