Review,Stars,Date
"Mes chiens le réclame tous les matins, ils adorent. Je prend plus gros pour les couper, ça rien moins cher.",4,Commenté en France 🇫🇷 le 12 juin 2023
"Mon jack russel a droit a sont dentasfix chaque soir et il les adore. Pas plus chere qu'en magasin,cest pratique quand je peux les prendre en magasin.

Vendeur tres serieux,je recommande !",5,Commenté en France 🇫🇷 le 17 janvier 2023
Mon chien adore,3,Commenté en France 🇫🇷 le 12 juin 2023
Un stick par jour évite la formation de tartre. Très efficace !,5,Commenté en France 🇫🇷 le 2 juin 2023
"Mes chiennes aiment...
Mais est ce utile...

En tout franchise... Ça reste surtout un rituel du matin, que mes chiennes aiment... Mais n'empêche absolument pas de puer ""d'la "" gueule...

Et surtout.... N'empêche pas un détartrage au véto ....

A prendre comme une friandise... Et non comme un vrai moyen de lutter contre la mauvaise haleine !",4,Commenté en France 🇫🇷 le 14 juin 2023
"J'utilise ce produit comme petite gâterie pour mon chien, de plus ça lui nettoie les dents.",5,Commenté en France 🇫🇷 le 4 juin 2023
Impeccable 👍,5,Commenté en France 🇫🇷 le 23 avril 2023
"Parfait pour mon petit chien qui aime se régaler tout en prenant soin de ses petites dents.
Conseillé par mon vétérinaire et approuvés par moi-même.
Mon chien avait souvent tendance à avoir mauvaise haleine, problème réglé depuis que je lui donne ses dentastix.
Aussi, le gros pack de 58 bâtonnet vendu par Amazon reviens plus intéressant au niveau du rapport qualité prix que les lots vendus en grande surface.
Enfin le packaging varie légèrement de celui vendu en magasin mais ne vous inquiétez pas ce sont bien les mêmes.",4,Commenté en France 🇫🇷 le 23 mai 2023
"Après en avoir testé de différentes marques, ce sont celles que mes chiens aiment le plus.
Le prix a cependant augmenté.",4,Commenté en France 🇫🇷 le 24 mai 2023
Très bon produit ❤️❤️❤️❤️,5,Commenté en France 🇫🇷 le 5 mars 2023
resultat,4,Commenté en France 🇫🇷 le 12 juin 2023
"sur le format, Amazon est le moins cher, et de loin.
Concernant le produit, j'en suis à ma 2e boite, et je vais en changer. Mon yorshire mini avale la barre en moins de 5 min. Je cherchais quelque chose pour l'occuper...
Ma véto m'a déconseillée de continuer en me recommandant plutôt des lamelles : se mange moins vite et surtout moins gras.
En gros, bien surveiller si le chien ne prend pas de poids en mangeant cette aliment",5,Commenté en France 🇫🇷 le 17 janvier 2023
Mon bouledogue adore tous les matins !,3,Commenté en France 🇫🇷 le 4 mai 2023
Parfait pour mon chien il a des dents parfaites pour ses 14 ans.,5,Commenté en France 🇫🇷 le 7 février 2023
R.A.S.,4,Commenté en France 🇫🇷 le 23 avril 2023
très bien,5,Commenté en France 🇫🇷 le 15 avril 2023
C'est le goûter de tout les jours pour mon bichon!!!!👍,5,Commenté en France 🇫🇷 le 31 mars 2023
Notre Carlin en raffole,4,Commenté en France 🇫🇷 le 21 avril 2023
Mon chien adore,5,Commenté en France 🇫🇷 le 5 avril 2023
"Je les ai achetés pour ma chienne car j'ai lu que c'était bon pour sa dentition et en plus ça l'occupe et elle adore ça ! Ce n'est pas cher de plus donc pourquoi s'en priver ? Il faut lui en donner un par jour ça suffit largement c'est ce qui est noté sur le paquet, bons achats à tous !",5,Commenté en France 🇫🇷 le 9 avril 2023
"Je me permets de mettre 5 étoiles à la saveur, car, même si je n'en consomme pas personnellement :)), notre westie se régale avec tous les jours.
Cette boîte de 56 bâtonnets rend la marque abordable à un tarif quasiment identique à celui d'un produit de distributeur.
Qualité, quantité et prix sont donc les trois atouts non négligeables de cet article",4,Commenté en France 🇫🇷 le 12 juin 2023
mais je ne peux pas répondre à sa place. Je prenais les mêmes en grande surface depuis longtemps. Par contre le prix était beaucoup moins fort ce qui me fait hésiter pour l'avenir.,5,Commenté en France 🇫🇷 le 17 janvier 2023
Bah ... C'est juste bon j'imagine.,3,Commenté en France 🇫🇷 le 24 janvier 2023
Donc doit être à son goût !,5,Commenté en France 🇫🇷 le 25 février 2023
Mon chien adore,5,Commenté en France 🇫🇷 le 20 mars 2023
exelent pour le prix,5,Commenté en France 🇫🇷 le 15 mars 2023
"Merci pour ma baby elle adore ses dentatix
Aujourd’hui elle fête ses 17 ans et elle est heureuse de pouvoir attaquer son dentatix",5,Commenté en France 🇫🇷 le 21 mars 2023
"Mis à part cette toute petite différence, ces produits restent très chers et une baisse prix au lieu des majorations non justifiées serait un plus pour nos petits compagnons canins.",5,Commenté en France 🇫🇷 le 12 mars 2023
Moins chers qu'en supermarché et envoi en gros suis tranquille avec 2 toutous qui les réclame le soir !,5,Commenté en France 🇫🇷 le 14 février 2023
mon chien a content,5,Commenté en France 🇫🇷 le 25 janvier 2023
"En supermarché, le prix c'est le double, et nickel pour les chicots du toutou, il adore ! 👍",4,Commenté en France 🇫🇷 le 12 juin 2023
"ma chienne est ravie, merci pour elle",5,Commenté en France 🇫🇷 le 17 janvier 2023
Bien.,3,Commenté en France 🇫🇷 le 6 janvier 2023
"J'achète régulièrement les dentasix pour mes 4 petits chiens, ils en raffolent.
Si vous voulez faire plaisir à vos petits animaux de compagnie je les recommande",5,Commenté en France 🇫🇷 le 27 janvier 2023
"Le produit est parfaitement arrivé, heureusement. Mais l'emballage était complètement défoncé, produit non suffisamment calé. Le préparateur en dessous de tout !!!",5,Commenté en France 🇫🇷 le 8 février 2023
mes chiens adorent,5,Commenté en France 🇫🇷 le 10 décembre 2022
"Ça fait déjà plusieurs années que je l’offre à mon chien. Il faut été honnête sa vocation de nettoyage reste à confirmer. Mon chien le dévore tellement vite qu’il y a peu de chance qu’il puisse agir sur ses dents. Mais son objectif pour moi est simple : faire plaisir à mon compagnon préféré. Si pédigrée nous lit, un conditionnement dès bâtonnets en demi part de celui proposé serait super. Pour un petit chien le bâtonnet reste, même dans sa version petit chien, trop grande",5,Commenté en France 🇫🇷 le 18 décembre 2022
"Mon Titou adore et en dévore un tous les matins.
L'expédition était parfaite et reçu sans problèmes",5,Commenté en France 🇫🇷 le 13 novembre 2022
"Même si mon teckel préfère d'autres gâteries, je ne peux que dire que ces Dentastix sont conformes aux normes qualitatives habituelles de la marque ... et je dois reconnaitre que mon teckel est plutôt capricieux !",4,Commenté en France 🇫🇷 le 21 avril 2022
pour mon chien qui les apprécie et pratique de commander sur amazone,4,Commenté en France 🇫🇷 le 19 décembre 2022
"Efficace pour l'entretien de nos compagnons,
Ils ont de très belles dents",4,Commenté en France 🇫🇷 le 12 juin 2023
Dommage que la date limite soit courte,5,Commenté en France 🇫🇷 le 17 janvier 2023
Très bien pour les dents des chiens 🐕 il adore.,3,Commenté en France 🇫🇷 le 18 décembre 2022
Mon chien adore c’est friandises,5,Commenté en France 🇫🇷 le 19 octobre 2022
"Mon toutou est ravie, prix très intéressant",4,Commenté en France 🇫🇷 le 10 octobre 2022
"Ma chienne adore. C'est pratique la quantité, plus besoin d'aller au magasin toutes les semaines",4,Commenté en France 🇫🇷 le 17 décembre 2022
"Excellent produit.
Dommage que ça soit en rupture",5,Commenté en France 🇫🇷 le 10 décembre 2022
"J'ai un caniche toy de 7 mois, il a aimé la première fois quand je lui ai donné mais maintenant il s'en fout un peu, mais j'ai eu un autre chien il adorait ça! Bon produit mais mon chiot est un peu difficile",5,Commenté en France 🇫🇷 le 18 novembre 2022
Ma chienne adore. Je lui en achète souvent. Très contente de mon achat,5,Commenté en France 🇫🇷 le 3 décembre 2022
"Habituée depuis de longues années a en manger sores chaque repas et un le soir au coucher, ma chienne en rafale. C’est un complément de bonne qualité. Il lui donne bonne à haleine , ce qui n’est pas le cas de tout ce qu’on peu leur donner comma gâteries.
De plus il y a souvent des promotions.
Il faut les guetter et en profiter. En tout cas ma chienne est ravie.",5,Commenté en France 🇫🇷 le 8 septembre 2022
"Rien a dire, comme au magasin avec un prix plus intéressant, je vais en recommander d’avance",4,Commenté en France 🇫🇷 le 12 juin 2023
"je suppose que c'est bon car mes petits chiens les dévorent..... d'ailleurs trop vite
qualité/PRIX très avantageux",5,Commenté en France 🇫🇷 le 17 janvier 2023
Ils adorent !,3,Commenté en France 🇫🇷 le 3 novembre 2022
JE SUIS PRIME MAIS CELA NE SERT A RIEN . ENVOYE A PERPETTE !!!!,5,Commenté en France 🇫🇷 le 31 octobre 2022
"Très bien, même s'ils ne sont pas donnés, mon chien qui est un peu difficile les mange très bien. De plus ils y a plusieurs sachets donc celà évite que le reste sèche rapidement",5,Commenté en France 🇫🇷 le 30 août 2022
"Je lui décerne 5 étoiles 😁 bien que n'y ayant jamais goûter ( ptete pas à mon goût Lol ) , mais vue la joie et la fête que me fait ma p'tite chérie une adorable chienne ( yorckcher, tekel ) qui et mon ange gardien du jour où elle tenais dans une seule de mes mains, jusqu'à aujourd'hui 12 ans plus tard que du bonheur 🥰 ... .... Je m'egare elle raffole de ces Denta qui en plus d'être une marque réputée tout de même sont à un prix imbattable. JE RECOMMANDE VIVEMENT SI VOUS VOULEZ RENDRE HEUREUX OU HEUREUSE VOTRE PETITE BOULE DE POIL 😊👌sont",4,Commenté en France 🇫🇷 le 17 janvier 2023
"Acheté en grande surface hier pack pour petits chiens ( 5 à 10kgs ) 4 sachets de 7 bâtonnets) 4,69 Euros soit le sachet à 1,17 Euro.
Aujourd'hui ( 13 janvier 2022 ) je vois sur Amazon une offre à 14,79,( 10 sachets de 7 bâtonnets ) soit le sachet 1,47..... Plus cher, donc",3,Commenté en France 🇫🇷 le 26 août 2022
"J’étais impatiente mon chiwawa adore mordre habituellement ds les bâtonnets, ceux là sont trop gros il n’a pas aimer je me retrouve avec cette grosse boîte sous la main, j’ai essayé à plusieurs reprise de lui donner il repousse complètement !",5,Commenté en France 🇫🇷 le 23 juillet 2021
bonjour merci pour mon compagnon c est son petit gouter de 16 heures,5,Commenté en France 🇫🇷 le 13 janvier 2022
"Bonnes friandises que mon beagle adore, je lui en donne une par jour pour entretenir sa dentition.
Et rapport qualité prix imbattable sur Amazon !",4,Commenté en France 🇫🇷 le 14 juin 2023
"Fait bien son travail, le vétérinaire confirme que les dents de notre toutou sont parfaites",4,Commenté en France 🇫🇷 le 12 juin 2023
"N'ayant pas goûté, je ne peux pas noté ni la saveur ni la fraîcheur.",5,Commenté en France 🇫🇷 le 17 janvier 2023
J en donne tous les matins à mon chien. Un vrai régal pour lui.,3,Commenté en France 🇫🇷 le 8 octobre 2022
Efficacité contre le tartre,5,Commenté en France 🇫🇷 le 9 octobre 2022
Pratique pour le mois.,5,Commenté en France 🇫🇷 le 21 septembre 2022
Tout est parfait,5,Commenté en France 🇫🇷 le 7 octobre 2022
"L'emballage extérieur était fermé, mais sur les 3 cartons de dentasticks un carton était ouvert et il manquait un sachet de dentasticks.... QUI C'EST SERVI ????????????",5,Commenté en France 🇫🇷 le 2 octobre 2022
"Rapport qualité-prix,très propre emballer en plusieurs sachets.Les chiens ils adorent.",5,Commenté en France 🇫🇷 le 3 octobre 2022
Super,5,Commenté en France 🇫🇷 le 24 septembre 2022
"Mes yorks adorent...mais pourquoi cet article est passé de 8,83€ à....+ de 13€ !!
Incompréhensible.
Je l ai trouvé dans un centre Leclerc à moins de 9€..... même marque même quantité ! Que se passe t il ?",3,Commenté en France 🇫🇷 le 28 août 2022
DEPUIS QUE JE PREND DENTASTIK MON HALEINE A CHANGEE ET MES CROTTES SONT MOINS MOLLES ( humour),4,Commenté en France 🇫🇷 le 12 juin 2023
"J'adore, car mon chien aime les dentastix, haleine moins forte, deux goûts différent.
Bien assez pour un mois voir plus !",5,Commenté en France 🇫🇷 le 17 janvier 2023
"Je recommande, j'achète la boîte de 56 sticks pour mes deux chiens et ils adorent. Je donne un stick tous les soirs au plus grand et un petit morceau au plus jeune car il est encore petit !
Le petit inconvénient c'est que dans la grosse boîte il y a 8 paquets qui chacun contient 7 sticks à l'intérieur et une fois que le paquet est ouvert il n'y a pas de fermeture pour éviter qu'ils durcissent, il faut donc de préférence les mettres dans un petit sachet avec une fermeture.",3,Commenté en France 🇫🇷 le 31 juillet 2022
Des années que je l'utilise mon chien les adore. Pas sûr de l efficacité du brossage annoncé au vu de la vitesse à laquelle ils sont dévorés.,5,Commenté en France 🇫🇷 le 14 juillet 2022
Dent chien,5,Commenté en France 🇫🇷 le 11 mai 2020
"Impossible d'oublier de les donner... les chiens les réclament !
Côté efficacité, rien à redire, mon vétérinaire m'a confirmé que mon chien n'avait pas besoin de détartrage.",4,Commenté en France 🇫🇷 le 28 novembre 2021
"A donner le soir après avoir mangé.
C’est comme une récompense pour le chien il attend ça tous les soir …",4,Commenté en France 🇫🇷 le 8 septembre 2022
Conforme à la photo + Excellent rapport qualité/prix,4,Commenté en France 🇫🇷 le 8 mai 2022
3 heures qu'il est à sa disposition !,5,Commenté en France 🇫🇷 le 4 juin 2022
Tartre,5,Commenté en France 🇫🇷 le 25 juillet 2022
"Alors, je n ai pas goûté ce produit (rire ! ), mais en tous les cas, ma chienne l'adore ! C'est vraiment la gourmandise de la journée. Et je constate que depuis qu'elle en consomme, la vétérinaire trouve que ses dents sont en bon état.",4,Commenté en France 🇫🇷 le 12 juin 2023
👍,5,Commenté en France 🇫🇷 le 17 janvier 2023
Top,3,Commenté en France 🇫🇷 le 8 octobre 2021
"La déclaration inadéquate des ingrédients aurait dû me décourager. Quels sous-produits animaux qui se trouvent dans la composition de ces bâtonnets ? Des poils de la corne..... ?. Le stix est-il bon pour ses dents? . Pour les chiens nourris avec de la nourriture Pedigree, ils peuvent représenter une amélioration, mais ceux qui donnent réellement de la bonne nourriture à leur chien devraient également chercher ailleurs des soins dentaires. Je dois également mentionner que les chiens avec de fortes morsures peuvent simplement mordre et qu'il n'y a donc pratiquement aucun effet de soin dentaire. Mon opinion n'est pas non plus améliorée par le fait que notre chien aura des gaz après en avoir eu un pendant quelques jours consécutifs ces bâtonnets .Bon avis est donc mitigé",5,Commenté en France 🇫🇷 le 16 août 2022
mon chien chinois a les dents fragiles (c'est la race qui veut ça) et à 5 ans il en a déjà perdu 11. Je lui donne un demi batonnet chaque jour et il a l'air d'apprécier raison pour laquelle j'ai mis 4 * pour la saveur car évidemment je ne les ai pas goûtés (lol !),5,Commenté en France 🇫🇷 le 15 août 2022
Le produit par lui même est parfait toutefois il manque un sachet de dentastix dans une des boîtes livrées,5,Commenté en France 🇫🇷 le 5 novembre 2020
"Ma chienne de 7 kgs , d'une dizaine d'années, souffrait de problèmes de tartre et mauvaise haleine. Suite au détartrage chez le vétérinaire, j'ai démarré cet aliment complémentaire. Il est si appétent que je peux m'en servir pour traiter les petits bobos et le donner en récompense. Avec l'âge, il n'est pas recommandé d'effectuer une anesthésie générale pour un détartrage et la santé bucco-dentaire est pourtant cruciale pour le bon état général de l'animal. Voici donc une alternative parfaite. Je retire quelques grammes de la portion d'aliments pour ne pas générer de surpoids. Je suis entièrement satisfaite et en parle autour de moi.",3,Commenté en France 🇫🇷 le 10 décembre 2020
Toujours content de ce produit,4,Commenté en France 🇫🇷 le 29 avril 2022
"Permet de ritualiser le moment du ""brossage de dents"" de votre animal de compagnie. Moment de détente lui permettant aussi de ""mâcher"". Peut être utilisé comme récompense. La boîte permet d'en avoir pour un mois et demi et le prix est extremement intéressant comparé en magasin.",5,Commenté en France 🇫🇷 le 30 janvier 2019
"De suite adopté par le petit Spitz (3 mois) qui en raffole. Cependant, pour un tel gabarit il ne faut certainement pas lui permettre de grignoter chaque morceau en une fois (car il en serait bien capable tant cela lui plaît en mastication mais aussi en dégustation! -sans parler de l’abus de nourriture peut-être non adaptée..-)
Pour ma part, je fais en sorte de lui retirer la part dédiée afin de pouvoir l’utiliser quatre jours de suite (mis dans du papier alu pour assurer la période). Mais attention, je ne lui permets pas de profiter du dernier petit morceau pour éviter toute ingestion intempestive toujours délicate.. Celui-ci est donc jeté mais sans regrets.
Quant à la date de péremption, elle est largement suffisante, se situant à 1 an 4 mois de cet achat (cf. photo).
Je complète cet avis car après quinze jours, l’intéressée n’en a plus voulu et visiblement elle n’est pas prête d’y regoûter même en utilisant tous les artifices possibles (dans jouets, etc...)
Donc je ne racheterai pas ce produit (surtout en grosse boîte...)",5,Commenté en France 🇫🇷 le 29 juin 2022
"j'ai aimé le prix de 8.90 pour 56 batonnets , mais la le pack est passé à plus de 23 euros ,, il y a un prbl ;amazone ,vous vus fichez de qui",4,Commenté en France 🇫🇷 le 12 juin 2023
Bon rapport qualité prix,5,Commenté en France 🇫🇷 le 17 janvier 2023
"Nikel, seulement trop grand et trop gros pour petit chien de moins de 2 kg",3,Commenté en France 🇫🇷 le 28 octobre 2021
Notre bichon les adorent,5,Commenté en France 🇫🇷 le 24 juin 2022
Qualité prix moins chère quand magasin animalerie je recommande vivement,5,Commenté en France 🇫🇷 le 27 juillet 2021
Mon chien les adore 😊 Excellent rapport qualité/prix.,4,Commenté en France 🇫🇷 le 9 juin 2022
"Le tarif est imbattable comparé au prix du sachet individuel, quasiment 50% de réduction. Même qualité, mon chien est fan, un peu plus de trois mois de friandises 😊. Au top",5,Commenté en France 🇫🇷 le 4 mars 2022
Très bon prix pour le lot. Ma chienne un spitz de 4kg mange une demi barre le matin tous les jours.,5,Commenté en France 🇫🇷 le 1 avril 2022
La couleur du produit me laisse un doute quant à la qualité. En effet certains sticks sont rougeâtres au lieu d’être marron. J’espère que le produit n’est pas périmé !!,5,Commenté en France 🇫🇷 le 18 août 2021
"Très bien. Je suis très contente du produit et notre toutou aussi.
Prix plus intéressant chez Amazon qu'en grande surface !! Merci Amazon !!",5,Commenté en France 🇫🇷 le 17 octobre 2021
